Item ID,Sentiment,SentimentText,Recommended complaint category,cleaned_text,final_text,word_count
1,0,"@RailMinIndia My PNR is 8348062961, I am in way but there is no water in toilet and mess is everywhere in coach. please provide basic facil.",Cleanliness & Facilities,railminindia my pnr is i am in way but there is no water in toilet and mess is everywhere in coach please provide basic facil,railminindia pnr way water toilet mess everywhere coach please provide basic facil,12
2,0,@sureshpprabhu @RailMinIndia AC not working in prayag lucknow intercity today which departed from prayag at 3.45 pm..staff not helping us,Cleanliness & Facilities,sureshpprabhu railminindia ac not working in prayag lucknow intercity today which departed from prayag at pmstaff not helping us,sureshpprabhu railminindia ac working prayag lucknow intercity today departed prayag pmstaff helping us,13
3,0,@RailMinIndia I'm traveling to chennai by train 16102 coach S4-46. My berth is very dirty(some one vomitted on the birth).,Cleanliness & Facilities,railminindia im traveling to chennai by train coach s my berth is very dirtysome one vomitted on the birth,railminindia im traveling chennai train coach berth dirtysome one vomitted birth,11
4,5,@RailMinIndia irctc is not responding at the time of tatkal booking.,Ticketing & Reservation,railminindia irctc is not responding at the time of tatkal booking,railminindia irctc responding time tatkal booking,6
5,7,@DRMbhopal @RailMinIndia @sanjaygupta2012 @drmncrald Matter notified to concerned official @BhusavalDivn,Customer Support Response,drmbhopal railminindia sanjaygupta drmncrald matter notified to concerned official bhusavaldivn,drmbhopal railminindia sanjaygupta drmncrald matter notified concerned official bhusavaldivn,9
6,6,@RailMinIndia If you can't give justice to graduate engineers then just do one thing at least. Stop recruiting B. Tech. as SSE.,Irrelevant & Noise,railminindia if you cant give justice to graduate engineers then just do one thing at least stop recruiting b tech as sse,railminindia cant give justice graduate engineers one thing least stop recruiting b tech sse,14
7,4,@sureshpprabhu @RailMinIndiaPlz wrkout smthng tht cn hlp trains to run on right time.Malwa exprs delayed more than 3 hrs @ Mathura junction,Delay / Running Status,sureshpprabhu railminindiaplz wrkout smthng tht cn hlp trains to run on right timemalwa exprs delayed more than hrs mathura junction,sureshpprabhu railminindiaplz wrkout smthng tht cn hlp trains run right timemalwa exprs delayed hrs mathura junction,16
8,0,@RailMinIndia @mumbairailusers Dirty water flowing ftm blower of local coach aft 1st rain. 8.08 Thane Vashi https://t.co/mBZUOFkLXQ,Cleanliness & Facilities,railminindia mumbairailusers dirty water flowing ftm blower of local coach aft st rain thane vashi,railminindia mumbairailusers dirty water flowing ftm blower local coach aft st rain thane vashi,14
9,6,Enter to win $150 Amazon Gift Card! #Books #PNR #UrbanFantasy #Romance https://t.co/jBfXzDe7P2,Irrelevant & Noise,enter to win amazon gift card books pnr urbanfantasy romance,enter win amazon gift card books pnr urbanfantasy romance,9
10,3,@RailMinIndia still vendors are selling local local products like water etc. inside the train https://t.co/wdFyLlmMek,Food & Catering,railminindia still vendors are selling local local products like water etc inside the train,railminindia still vendors selling local local products like water etc inside train,12
11,4,@Central_Railway @RailMinIndia @drmmumbaicr please update the status of today 12141 LTT PPTA EXPRESS departure from LTT.,Delay / Running Status,centralrailway railminindia drmmumbaicr please update the status of today ltt ppta express departure from ltt,centralrailway railminindia drmmumbaicr please update status today ltt ppta express departure ltt,12
12,0,@RailMinIndia #Swatch Bharat Abhiyaan# Train stops at kozhikod(calicut) but no one comes in 12218 coachA1 #no water# https://t.co/h5uUdJuvel,Cleanliness & Facilities,railminindia swatch bharat abhiyaan train stops at kozhikodcalicut but no one comes in coacha no water,railminindia swatch bharat abhiyaan train stops kozhikodcalicut one comes coacha water,11
13,5,@RailMinIndia @sureshpprabhu my reserved ticket was been allotted to RAC passenger as we boarded from next station. Kindly please help ??,Ticketing & Reservation,railminindia sureshpprabhu my reserved ticket was been allotted to rac passenger as we boarded from next station kindly please help,railminindia sureshpprabhu reserved ticket allotted rac passenger boarded next station kindly please help,13
14,4,@RailMinIndia  update:- today intercity 12930 late 16 min?,Delay / Running Status,railminindia update today intercity late min,railminindia update today intercity late min,6
15,0,@RailMinIndia  TRAIN NO 12656 THERE IS NO PROPER WATER SERVICE IN TRAIN KINDLY LOOK INTO MATTER.. https://t.co/VIQmURi8HK,Cleanliness & Facilities,railminindia train no there is no proper water service in train kindly look into matter,railminindia train proper water service train kindly look matter,9
16,6,The Google i1 button is used 5 billion times pnr day. (source: AllTwitter),Irrelevant & Noise,the google i button is used billion times pnr day source alltwitter,google button used billion times pnr day source alltwitter,9
17,3,"@RailMinIndia Sir, ?? ?????? ????? ?????? ?? ?????????? ?? 6 ?? water point ???? ???? ??? ?? ??? ???  ?????? ??????. https://t.co/sMfHUZdN2U",Food & Catering,railminindia sir water point,railminindia sir water point,4
18,4,@RailMinIndia Train has departed Varanasi and will be reaching Chunar in few minutes and then Mirzapur.,Delay / Running Status,railminindia train has departed varanasi and will be reaching chunar in few minutes and then mirzapur,railminindia train departed varanasi reaching chunar minutes mirzapur,8
19,4,@sureshpprabhu  @RailMinIndia student's pnr 2119025096 Not confirmed Tkt counter@ Raeberali denying refund sayin  he is late to reach window,Delay / Running Status,sureshpprabhu railminindia students pnr not confirmed tkt counter raeberali denying refund sayin he is late to reach window,sureshpprabhu railminindia students pnr confirmed tkt counter raeberali denying refund sayin late reach window,14
20,5,"@RailMinIndia Dear Sir, my father is a senior citizen and is a patient too.Travelling alone and his seat is not confirmed but is having RAC.",Ticketing & Reservation,railminindia dear sir my father is a senior citizen and is a patient tootravelling alone and his seat is not confirmed but is having rac,railminindia dear sir father senior citizen patient tootravelling alone seat confirmed rac,12
21,4,@sureshpprabhu @RailMinIndiaTrain EMU 64439 Ghaziabad to New Delhi daily late.Kindly check &amp; resolved issue.,Delay / Running Status,sureshpprabhu railminindiatrain emu ghaziabad to new delhi daily latekindly check amp resolved issue,sureshpprabhu railminindiatrain emu ghaziabad new delhi daily latekindly check amp resolved issue,12
22,1,"@RailMinIndia @YourSKD Sir, FIR lodged by GRP/Bandikui vide Cr.No. 34/16 U/S 380 IPC",Safety & Security,railminindia yourskd sir fir lodged by grpbandikui vide crno us ipc,railminindia yourskd sir fir lodged grpbandikui vide crno us ipc,10
23,0,@RailMinIndia  travelling from Howrah to cuttack in 12073 Jan Shatabdi exp in coach no C2. There is no cleanliness in the coach.,Cleanliness & Facilities,railminindia travelling from howrah to cuttack in jan shatabdi exp in coach no c there is no cleanliness in the coach,railminindia travelling howrah cuttack jan shatabdi exp coach c cleanliness coach,11
24,0,@RailMinIndia there is no water n clear in Train No 12656 PNR 4837665503 please look into matter seriously,Cleanliness & Facilities,railminindia there is no water n clear in train no pnr please look into matter seriously,railminindia water n clear train pnr please look matter seriously,10
25,5,@RailMinIndia hi sir.i need help from u.my wife and my son of 4years is hvng waiting ticket 4-1st AC of pnr 2119063322of bilaspur rajhdhani,Ticketing & Reservation,railminindia hi siri need help from umy wife and my son of years is hvng waiting ticket st ac of pnr of bilaspur rajhdhani,railminindia hi siri need help umy wife son years hvng waiting ticket st ac pnr bilaspur rajhdhani,17
26,3,"@RailMinIndia @drmbct @sureshpprabhu paschim express, vendor doesn't give food mentioned in the menu, so ppl have no option 2 food of choice",Food & Catering,railminindia drmbct sureshpprabhu paschim express vendor doesnt give food mentioned in the menu so ppl have no option food of choice,railminindia drmbct sureshpprabhu paschim express vendor doesnt give food mentioned menu ppl option food choice,15
27,5,"@RailMinIndia hello sir I want going to village, I have no money buy of ticket .what i do plz help me",Ticketing & Reservation,railminindia hello sir i want going to village i have no money buy of ticket what i do plz help me,railminindia hello sir want going village money buy ticket plz help,11
28,4,RT @prateekpharmpt: @RailMinIndia Everyday magadh exp 12401 running late 3to 5 hrs without any reson.  Is anyome have responsibility. P… ,Delay / Running Status,rt prateekpharmpt railminindia everyday magadh exp running late to hrs without any reson is anyome have responsibility p,rt prateekpharmpt railminindia everyday magadh exp running late hrs without reson anyome responsibility p,14
29,1,"@RailMinIndia @sureshpprabhu My bro lost his luggage, luks like by rail officials at dindigul station. PNR:4840503630,ph. 9994437217,pl help",Safety & Security,railminindia sureshpprabhu my bro lost his luggage luks like by rail officials at dindigul station pnrph pl help,railminindia sureshpprabhu bro lost luggage luks like rail officials dindigul station pnrph pl help,14
30,7,@RailMinIndia @vivek05102229 Kindly share PNR number &amp; contact number.,Customer Support Response,railminindia vivek kindly share pnr number amp contact number,railminindia vivek kindly share pnr number amp contact number,9
31,0,"@RailMinIndia in train no. 12183, there is no water i. Coach no. SE-4 for use in toilets",Cleanliness & Facilities,railminindia in train no there is no water i coach no se for use in toilets,railminindia train water coach se use toilets,7
32,4,@RailMinIndia what's the reason behind the delay of 9 hours of 14312 ala hazrat exp. We had to go back home from station.,Delay / Running Status,railminindia whats the reason behind the delay of hours of ala hazrat exp we had to go back home from station,railminindia whats reason behind delay hours ala hazrat exp go back home station,13
